"document_id","mention_id","table_id","relation","related_table_cells","exact","count","mention_table_id","mention"
550,3124,3440,"same","8,",True,"3",4411,"342,983"
550,3122,3440,"same","4,",True,"3",4394,"376,486"
550,3121,3440,"same","2,",True,"3",4393,"422,901"
550,3120,3440,"sum","2,4,6,",False,"2",4392,"4.5 million"
550,3126,3440,"same","12,",True,"2",4413,"50,878"
724,4182,5929,"same","2,",True,"2",6953,".270"
724,4179,5929,"same","3,",True,"2",6949,".421"
724,4184,5929,"same","9,",True,"3",6955,"48"
724,4185,5929,"same","8,",True,"3",6956,"49"
797,4719,6222,"same","8,",True,"3",7987,"11.3"
797,4718,6222,"same","13,",True,"3",7986,"11.5"
797,4720,6222,"same","14,",True,"3",7988,"29.7%"
797,4722,6222,"same","9,",True,"3",7989,"4.5%"
798,4730,6226,"rat","10,15,",False,"2",7999,"19%"
798,4729,6226,"same","15,",True,"3",7997,"26,502 lb/ac"
798,4728,6226,"same","10,",True,"3",7995,"32,531 lb/ac"
929,5457,6790,"same","4,",True,"3",8893,"0.1%"
929,5463,6790,"same","8,",True,"3",8896,"0.1%"
929,5461,6790,"same","7,",True,"3",8895,"0.4%"
929,5455,6790,"same","3,",True,"3",8892,"0.6%"
1082,6244,7819,"same","8,",True,"3",10217,"$100,000)"
1082,6245,7819,"same","10,",True,"3",10219,"$200,000"
1082,6243,7819,"same","7,",True,"2",10215,"$300,000"
1145,6664,8125,"same","2,",True,"3",11071,"12,524"
1145,6664,8125,"sum","9,16,",True,"2",11071,"12,524"
1145,6665,8125,"same","25,",True,"2",11074,"4.9%"
1145,6662,8125,"same","10,",True,"3",11063,"49.0%"
1145,6663,8125,"same","17,",True,"3",11067,"51.0%"
1148,6678,8187,"sum","11,18,",False,"3",11100,"14.2%"
1148,6676,8187,"same","4,",True,"4",11097,"49.7%"
1153,6694,8230,"same","31,",True,"2",11118,"25"
1153,6693,8230,"same","3,",True,"2",11116,"53"
1154,6696,8259,"same","11,",True,"2",11122,"10.4%"
1154,6695,8259,"same","4,",True,"2",11120,"50.4%"
1156,6704,8312,"same","10,",True,"2",11132,"36"
1156,6703,8312,"same","3,",True,"2",11130,"53"
1157,6709,8359,"sum","31,38,45,",True,"3",11144,"25.5%"
1157,6706,8359,"same","73,",True,"2",11151,"27.0%"
1157,6708,8359,"sum","10,17,24,",False,"3",11142,"33.3%"
1157,6710,8359,"sum","52,59,",False,"3",11145,"9.5%"
1160,6712,8433,"same","3,",True,"2",11160,"14.4%"
1160,6711,8433,"same","24,",True,"3",11159,"74.6%"
1161,6722,8485,"same","11,",True,"3",11199,"28.8%"
1161,6720,8485,"same","31,",True,"3",11189,"5,597"
1161,6720,8485,"sum","3,10,17,24,",True,"2",11189,"5,597"
1161,6721,8485,"same","4,",True,"2",11193,"58.1%"
1161,6723,8485,"same","25,",True,"3",11205,"6.7%"
1162,6724,8520,"same","4,",True,"3",11213,"10.7%"
1162,6726,8520,"same","32,",True,"3",11215,"45.3%"
1162,6725,8520,"same","11,",True,"3",11214,"8.7%"
1164,6747,8591,"same","10,",True,"3",11218,"42"
1164,6745,8591,"same","3,",True,"3",11217,"44"
1166,6755,8653,"same","18,",True,"3",11314,"11.5%"
1166,6756,8653,"same","25,",True,"3",11310,"19.8%"
1166,6754,8653,"same","11,",True,"3",11312,"28.8%"
1166,6752,8653,"same","4,",True,"3",11302,"69.9%"
1167,6759,8694,"same","25,",True,"2",11318,"12.6%"
1167,6758,8694,"same","18,",True,"2",11317,"14.3%"
1167,6757,8694,"same","11,",True,"2",11316,"24.3%"
1169,6783,8758,"same","17,",True,"3",11331,"17.8%"
1169,6781,8758,"same","10,",True,"3",11323,"40.0%"
1169,6782,8758,"same","3,",True,"3",11327,"40.7%"
1170,6784,8788,"same","4,",True,"3",11346,"20.1%"
1170,6785,8788,"same","11,",True,"3",11347,"79.9%"
1171,6797,8828,"same","2,",True,"3",11359,"$1,473"
1171,6796,8828,"same","9,",True,"3",11357,"$1,919"
1173,6802,8857,"same","18,",True,"3",11371,"20.1%"
1173,6798,8857,"same","4,",True,"3",11369,"20.4%"
1173,6800,8857,"same","11,",True,"3",11370,"3.2%"
1175,6816,8889,"same","10,",True,"3",11387,"13.9%"
1175,6815,8889,"same","3,",True,"3",11386,"86.1%"
1176,6826,8920,"same","25,",True,"3",11396,"1.8%"
1176,6824,8920,"same","11,",True,"3",11394,"3.5%"
1176,6825,8920,"same","18,",True,"3",11395,"5.7%"
1176,6823,8920,"same","4,",True,"3",11393,"88.8%"
1178,6828,8950,"same","18,",True,"3",11398,"13.0%"
1178,6831,8930,"same","4,",True,"3",11401,"2.6"
1178,6830,8950,"same","46,",True,"3",11400,"3.2"
1178,6829,8950,"same","25,",True,"3",11399,"42.2%"
1178,6827,8950,"same","11,",True,"3",11397,"4.5%"
1179,6833,8980,"same","11,",True,"3",11404,"30.3%"
1179,6834,8980,"same","18,",True,"3",11405,"32.9%"
1179,6832,8980,"same","4,",True,"3",11403,"33.2%"
1180,6840,9021,"same","10,",True,"3",11411,"23.7%"
1180,6841,9021,"same","17,",True,"3",11412,"2.6%"
1180,6839,9021,"same","3,",True,"3",11410,"73.6%"
1183,6849,9068,"same","3,",True,"3",11422,"30.1%"
1183,6850,9068,"same","10,",True,"3",11424,"4.2%"
1185,6861,9127,"same","24,",True,"3",11436,"21.2%"
1185,6859,9127,"same","10,",True,"3",11434,"34.1%"
1185,6860,9127,"same","17,",True,"3",11435,"35.7%"
1188,6873,9178,"same","10,",True,"3",11471,"293"
1188,6874,9178,"same","17,",True,"3",11479,"320"
1188,6871,9178,"same","11,",True,"3",11455,"47.8%"
1188,6872,9178,"same","18,",True,"3",11463,"52.2%"
1188,6870,9178,"same","2,",True,"3",11445,"613"
1188,6870,9178,"sum","10,17,",True,"2",11445,"613"
1193,6896,9288,"same","11,",True,"3",11499,"$2,000"
1193,6895,9288,"same","4,",True,"3",11498,"$240"
1197,6908,9328,"same","11,",False,"3",11514,"133.7035 million"
1197,6907,9328,"same","13,",True,"2",11513,"13.92%"
1197,6905,9328,"same","10,",False,"2",11509,"960.2716 million"
1204,6956,9379,"dif","14,28,",True,"2",11566,"14.4953 million"
1204,6956,9379,"same","21,",True,"2",11566,"14.4953 million"
1204,6955,9379,"dif","21,28,",True,"2",11565,"1.6035 million"
1204,6955,9379,"same","14,",True,"2",11565,"1.6035 million"
1204,6958,9379,"dif","16,30,",True,"2",11569,"3.5282 million"
1204,6958,9379,"same","23,",True,"2",11569,"3.5282 million"
1204,6951,9379,"percentage","12,26,",False,"2",11571,"45.28%"
1204,6951,9379,"same","13,",True,"2",11571,"45.28%"
1204,6952,9379,"percentage","19,26,",False,"2",11573,"54.72%"
1204,6952,9379,"same","20,",True,"2",11573,"54.72%"
1204,6953,9379,"same","19,",True,"3",11575,"70.3292 million"
1204,6954,9379,"percentage","21,28,",False,"2",11564,"90.04%"
1204,6954,9379,"same","22,",True,"2",11564,"90.04%"
1204,6957,9379,"percentage","23,30,",False,"2",11567,"93.07%"
1204,6957,9379,"same","24,",True,"2",11567,"93.07%"
1207,6994,9411,"percentage","19,29,",False,"2",11623,"0.76%"
1207,6994,9411,"same","20,",True,"2",11623,"0.76%"
1207,6991,9411,"percentage","12,27,",False,"2",11616,"14.70%"
1207,6991,9411,"same","13,",False,"2",11616,"14.70%"
1207,6997,9411,"same","12,",True,"3",11630,"16.0729 million"
1207,6998,9411,"same","14,",True,"3",11632,"1,777.977 million"
1207,6992,9411,"percentage","14,29,",False,"2",11618,"19.57%"
1207,6992,9411,"same","15,",True,"2",11618,"19.57%"
1207,6995,9411,"percentage","22,27,",False,"2",11626,"3.08%"
1207,6995,9411,"same","23,",True,"2",11626,"3.08%"
1207,7001,9411,"same","22,",True,"3",11641,"3.3481 million"
1207,6993,9411,"percentage","17,27,",False,"2",11620,"3.95%"
1207,6993,9411,"same","18,",True,"2",11620,"3.95%"
1207,6999,9411,"same","17,",True,"2",11634,"4.2886 million"
1207,7002,9411,"same","24,",True,"2",11643,"496.6358 million"
1207,6996,9411,"percentage","24,29,",False,"2",11628,"5.47%"
1207,6996,9411,"same","25,",True,"2",11628,"5.47%"
1207,6990,9411,"same","9,",True,"3",11614,"6,743.3869 million"
1207,7000,9411,"same","19,",True,"3",11638,"69.1674 million"
1207,6988,9411,"percentage","9,29,",False,"2",11610,"74.2%"
1207,6988,9411,"same","10,",True,"2",11610,"74.2%"
1207,6987,9411,"percentage","7,27,",False,"2",11608,"78.18%"
1207,6987,9411,"same","8,",True,"2",11608,"78.18%"
1207,6989,9411,"same","7,",True,"3",11612,"84.9286 million"
1211,7020,9440,"percentage","17,32,",True,"2",11669,"10.18%"
1211,7020,9440,"same","18,",True,"2",11669,"10.18%"
1211,7016,9440,"same","9,",True,"3",11660,"1,023.1764 million"
1211,7026,9440,"same","17,",True,"3",11684,"11.061"
1211,7012,9440,"percentage","9,34,",True,"2",11656,"11.26%"
1211,7012,9440,"same","10,",True,"2",11656,"11.26%"
1211,7022,9440,"percentage","22,32,",False,"2",11673,"11.68%"
1211,7022,9440,"same","23,",True,"2",11673,"11.68%"
1211,7021,9440,"percentage","19,34,",False,"2",11671,"13.44%"
1211,7021,9440,"same","20,",True,"2",11671,"13.44%"
1211,7024,9440,"percentage","29,34,",False,"2",11677,"21.77%"
1211,7024,9440,"same","30,",True,"2",11677,"21.77%"
1211,7023,9440,"percentage","24,34,",False,"2",11675,"24.25%"
1211,7023,9440,"same","25,",True,"2",11675,"24.25%"
1211,7025,9440,"same","14,",True,"3",11680,"2,660.342"
1211,7019,9440,"percentage","14,34,",False,"2",11665,"29.28%"
1211,7019,9440,"same","15,",True,"2",11665,"29.28%"
1211,7018,9440,"percentage","12,32,",False,"2",11662,"33.26%"
1211,7018,9440,"same","13,",True,"2",11662,"33.26%"
1211,7011,9440,"percentage","7,32,",False,"2",11654,"38.05%"
1211,7011,9440,"same","8,",True,"2",11654,"38.05%"
1211,7014,9440,"same","7,",True,"3",11658,"41.3331 million"
1211,7034,9440,"percentage","27,32,",False,"2",11695,"6.83%"
1211,7034,9440,"same","28,",True,"2",11695,"6.83%"
1217,7061,9476,"dif","9,19,",True,"2",11717,"3,975.0078 million"
1217,7061,9476,"same","14,",True,"2",11717,"3,975.0078 million"
1217,7054,9476,"percentage","14,19,",False,"2",11709,"43.74%"
1217,7054,9476,"same","15,",True,"2",11709,"43.74%"
1217,7050,9476,"percentage","12,17,",False,"2",11705,"49.34%"
1217,7050,9476,"same","13,",True,"2",11705,"49.34%"
1217,7048,9476,"percentage","7,17,",False,"2",11703,"50.66%"
1217,7048,9476,"same","8,",True,"2",11703,"50.66%"
1217,7060,9476,"dif","14,19,",True,"2",11715,"5,112.1593 million"
1217,7060,9476,"same","9,",True,"2",11715,"5,112.1593 million"
1217,7058,9476,"dif","7,17,",True,"2",11713,"53.6056 million"
1217,7058,9476,"same","12,",True,"2",11713,"53.6056 million"
1217,7056,9476,"dif","12,17,",True,"2",11711,"55.0326 million"
1217,7056,9476,"same","7,",True,"2",11711,"55.0326 million"
1217,7052,9476,"percentage","9,19,",False,"2",11707,"56.26%"
1217,7052,9476,"same","10,",True,"2",11707,"56.26%"
1221,7093,9512,"same","13,",False,"2",11755,"14%"
1323,7536,10705,"percentage","8,9,",True,"2",12528,"100%"
1323,7538,10705,"percentage","8,9,",True,"2",12541,"100%"
1323,7539,10708,"same","8,",True,"3",12548,"11"
1323,7540,10711,"same","43,",True,"3",12522,"$(212,705)"
1323,7541,10711,"same","44,",True,"3",12523,"$(337,352)"
1323,7542,10711,"same","30,",True,"3",12524,"$795,021"
1323,7543,10711,"same","31,",True,"3",12525,"$835,555"
1330,7601,10742,"rat","14,18,",False,"3",12693,"205.8 percent"
1330,7602,10742,"same","14,",True,"2",12694,"324,814"
1330,7605,10742,"same","16,",True,"3",12691,"491,534"
1330,7599,10742,"same","20,",True,"2",12688,"536,241"
1330,7596,10742,"rat","18,20,",False,"2",12685,"85 percent"
1330,7598,10742,"same","18,",True,"3",12687,"993,454"
1332,7612,10756,"same","6,",True,"3",12702,"11.4 percent"
1332,7611,10756,"same","4,",True,"3",12700,"18.1 percent"
1332,7609,10756,"same","2,",True,"3",12697,"21 percent"
1333,7614,10758,"same","4,",False,"3",12713,"56.9 percent"
1333,7613,10758,"same","2,",True,"3",12712,"63 percent"
1511,8656,11664,"same","19,",True,"3",14489,"0.8%"
1511,8655,11664,"same","2,",True,"3",14492,"10,879"
1511,8655,11664,"sum","7,12,",True,"2",14492,"10,879"
1511,8653,11664,"same","8,",True,"3",14490,"47.9%"
1511,8654,11664,"same","13,",True,"3",14491,"52.1%"
1513,8668,11679,"sum","3,8,",True,"3",14503,"1,426"
1513,8670,11679,"sum","23,28,",True,"3",14505,"3,032"
1516,8678,11696,"same","7,",True,"3",14519,"2,487"
1516,8679,11696,"same","12,",True,"3",14520,"257"
1516,8677,11696,"same","2,",True,"3",14518,"9,430"
1518,8690,11711,"same","19,",True,"3",14530,"38.7%"
1518,8685,11711,"same","4,",True,"3",14526,"44.9%"
1518,8686,11711,"same","9,",True,"3",14527,"8.2%"
1518,8688,11711,"same","14,",True,"3",14528,"8.3%"
1520,8706,11729,"same","14,",True,"3",14547,"2.3%"
1520,8705,11729,"same","9,",True,"3",14546,"36.5%"
1520,8708,11729,"same","23,",True,"2",14549,"3,970"
1520,8708,11729,"sum","3,8,13,18,",True,"2",14549,"3,970"
1520,8702,11729,"same","28,",True,"2",14543,"5,220"
1520,8702,11729,"sum","3,8,13,18,",True,"2",14543,"5,220"
1520,8704,11729,"same","4,",True,"3",14545,"54.6%"
1520,8707,11729,"same","19,",True,"3",14548,"6.5%"
1523,8716,11744,"same","13,",True,"3",14557,"11.0%"
1523,8718,11744,"same","22,",True,"2",14559,"2,596"
1523,8718,11744,"sum","2,7,12,17,",True,"2",14559,"2,596"
1523,8717,11744,"same","18,",True,"3",14558,"3.4%"
1523,8715,11744,"same","8,",True,"3",14556,"41.5%"
1523,8714,11744,"same","3,",True,"3",14555,"44.1%"
1524,8722,11758,"same","19,",True,"3",14563,"0.7%"
1524,8721,11758,"same","14,",True,"3",14562,"26.0%"
1524,8719,11758,"same","4,",True,"3",14560,"65.8%"
1524,8720,11758,"same","9,",True,"3",14561,"6.8%"
1525,8727,11771,"same","9,",True,"3",14568,"16.9%"
1525,8728,11771,"same","14,",True,"3",14569,"30.0%"
1525,8725,11771,"same","4,",True,"2",14566,"46.1%"
1528,8737,11787,"same","9,",True,"3",14577,"1.5%"
1528,8735,11787,"same","4,",True,"3",14575,"37.3%"
1528,8739,11787,"same","14,",True,"3",14579,"60.2%"
1531,8746,11801,"same","9,",True,"3",14587,"31.9%"
1531,8745,11801,"same","4,",True,"2",14586,"56.1%"
1531,8748,11801,"same","14,",True,"2",14588,"8.1%"
1566,8878,11868,"same","8,",True,"2",14758,"$14,017"
1566,8879,11868,"same","5,",True,"3",14759,"$19,088"
1673,9481,12780,"same","13,",True,"3",15633,"$144"
1673,9482,12780,"same","16,",True,"3",15634,"$151"
1673,9475,12778,"same","17,",True,"3",15666,"30.3%"
1673,9474,12778,"same","11,",True,"3",15648,"44.9%"
1673,9480,12780,"same","11,",True,"3",15632,"$59"
1673,9479,12780,"same","8,",True,"3",15631,"$73"
1727,9713,13411,"same","1,",True,"3",15954,"14.6"
1727,9714,13411,"same","4,",True,"3",15956,"5.4"
1735,9730,13473,"same","9,",True,"3",15973,"$13,231"
1735,9729,13473,"same","6,",True,"3",15972,"$69,500"
1737,9738,13490,"same","2,",True,"2",15983,"1,128"
1737,9738,13490,"sum","7,12,",True,"2",15983,"1,128"
1737,9736,13490,"same","8,",True,"3",15981,"48.5%"
1737,9737,13490,"same","13,",True,"3",15982,"51.5%"
1737,9739,13490,"same","19,",True,"2",15980,"96.9%"
1738,9748,13517,"same","34,",True,"3",15992,"19"
1738,9744,13517,"sum","4,9,",True,"3",15988,"41.6%"
1738,9745,13517,"sum","24,29,",False,"2",15989,"7.4%"
1740,9751,13538,"same","13,",True,"2",15995,"0.0%"
1740,9750,13538,"same","8,",True,"3",15994,"0.4%"
1740,9749,13538,"same","3,",True,"2",15993,"99.4%"
1741,9755,13558,"same","14,",True,"2",15998,"5.9%"
1741,9753,13558,"same","9,",True,"3",15997,"6.5%"
1741,9757,13558,"same","19,",True,"2",16000,"78.0%"
1741,9752,13558,"same","4,",True,"3",15996,"9.2%"
1742,9768,13569,"same","19,",True,"3",16022,"11.3%"
1742,9767,13569,"same","14,",True,"2",16021,"2.0%"
1742,9763,13569,"same","33,",True,"3",16024,"293"
1742,9763,13569,"sum","3,8,13,18,23,",True,"2",16024,"293"
1742,9770,13569,"same","28,",True,"2",16026,"314"
1742,9765,13569,"same","4,",True,"3",16019,"31.4%"
1742,9766,13569,"same","9,",True,"2",16020,"49.5%"
1742,9769,13569,"same","24,",True,"3",16023,"5.8%"
1744,9775,13582,"same","6,",True,"3",16039,"$590"
1747,9780,13612,"same","3,",True,"3",16052,"12.4%"
1747,9784,13612,"same","22,",True,"3",16056,"225"
1747,9784,13612,"sum","2,7,12,17,",True,"2",16056,"225"
1747,9781,13612,"same","8,",True,"3",16053,"30.2%"
1747,9782,13612,"same","13,",True,"2",16054,"49.8%"
1747,9783,13612,"same","18,",True,"2",16055,"7.6%"
1748,9790,13625,"same","9,",True,"2",16062,"0.0%"
1748,9791,13625,"same","14,",True,"3",16063,"0.0%"
1748,9792,13625,"same","19,",True,"3",16064,"1.2%"
1748,9789,13625,"same","4,",True,"2",16061,"98.8%"
1749,9799,13648,"same","2,",True,"3",16071,"22%"
1749,9798,13648,"same","5,",True,"3",16070,"22.5%"
1749,9797,13648,"same","1,",True,"2",16069,"50%"
1750,9793,13642,"same","4,",True,"3",16065,"0.0%"
1750,9794,13642,"same","9,",True,"3",16066,"0.0%"
1750,9795,13642,"same","14,",True,"2",16067,"98.8%"
1751,9800,13654,"same","4,",True,"3",16073,"0.0%"
1751,9801,13654,"same","9,",True,"3",16074,"8.6%"
1751,9802,13654,"same","14,",True,"2",16075,"89.3%"
1752,9806,13675,"same","6,",True,"3",16079,"10.9%"
1752,9803,13675,"same","1,",True,"3",16076,"19%"
1752,9804,13675,"same","5,",True,"3",16077,"22.9%"
1752,9805,13675,"same","2,",True,"3",16078,"41%"
1753,9808,13664,"same","8,",True,"2",16083,"$0"
1753,9810,13678,"same","17,",True,"2",16081,"1.5"
1753,9809,13678,"same","12,",True,"2",16080,"4.2"
1753,9807,13678,"same","2,",True,"2",16082,"$70"
1755,9813,13697,"same","14,",True,"2",16087,"1.6%"
1755,9812,13697,"same","9,",True,"3",16086,"16.3%"
1755,9811,13697,"same","4,",True,"2",16085,"78.9%"
1777,10012,13786,"same","3,",True,"3",16352,"13"
1790,10067,13825,"same","60,",True,"2",16414,"$25,179"
1790,10069,13825,"same","63,",True,"2",16416,"$87,809"
1816,10159,14093,"same","87,",True,"3",16517,"324,275"
1816,10159,14093,"sum","40,47,54,61,",True,"2",16517,"324,275"
1816,10160,14093,"same","54,",True,"3",16521,"6,132"
1819,10167,14120,"same","175,",True,"3",16533,"$1,070"
1819,10166,14120,"same","173,",True,"3",16532,"$985"
1820,10171,14122,"same","179,",True,"3",16536,"$95 million"
1822,10183,14130,"same","144,",True,"2",16550,"$17 million"
1822,10184,14130,"same","168,",True,"3",16552,"$50 million"
1829,10225,14151,"same","106,",True,"3",16605,"$58.2 million"
1829,10226,14151,"rat","106,108,",False,"2",16606,"7%"
1831,10238,14154,"dif","119,121,",True,"3",16612,"$3.7 million"
1831,10240,14154,"same","121,",True,"3",16614,"$38.6 million"
1831,10241,14154,"dif","106,108,",True,"3",16611,"$4.0 million"
1831,10239,14154,"same","119,",True,"3",16613,"$42.3 million"
1831,10234,14154,"same","132,",True,"3",16617,"43%"
1831,10236,14154,"same","134,",True,"3",16618,"44%"
1833,10250,14158,"dif","112,114,",False,"3",16625,"$22.2 million"
1833,10248,14158,"same","138,",True,"3",16629,"41%"
1833,10249,14158,"same","140,",True,"3",16630,"52%"
1834,10254,14160,"same","65,",True,"3",16631,"312 million"
1834,10255,14160,"same","67,",True,"3",16632,"315 million"
1840,10270,14175,"rat","71,73,",False,"2",16647,"4%"
1840,10272,14175,"same","71,",True,"3",16649,"745 million"
1840,10274,14175,"same","73,",True,"3",16651,"777 million"
1843,10282,14184,"rat","52,54,",False,"2",16660,"4%"
1843,10283,14184,"same","52,",True,"3",16661,"438 million"
1843,10284,14184,"same","54,",True,"3",16662,"458 million"
1846,10293,14191,"rat","58,60,",False,"2",16670,"4%"
1846,10294,14191,"same","58,",True,"3",16671,"838 million"
1846,10295,14191,"same","60,",True,"3",16672,"873 million"
1847,10300,14193,"same","12,",False,"2",16674,"61.1 million"
1847,10299,14193,"same","14,",True,"2",16673,"69%"
1849,10306,14197,"same","9,",True,"2",16682,"44,749"
1849,10304,14197,"same","11,",True,"3",16680,"68%"
1858,10347,14235,"same","112,",True,"3",16728,"$119.6 million"
1858,10351,14235,"rat","112,114,",False,"2",16731,"23%"
1858,10351,14235,"same","116,",True,"2",16731,"23%"
1858,10349,14235,"same","114,",True,"3",16729,"$97.3 million"
1860,10361,14243,"dif","17,18,",False,"3",16738,"$1.6 million"
1860,10359,14243,"dif","43,44,",False,"2",16736,"$1.8 million"
1860,10352,14241,"same","93,",True,"3",16739,"$20.3 million"
1860,10358,14243,"dif","48,49,",False,"2",16735,"$2.1 million"
1860,10356,14241,"same","95,",True,"3",16741,"$25.9 million"
1860,10360,14243,"dif","53,54,",False,"2",16737,"$4.0 million"
1860,10354,14241,"dif","93,95,",True,"3",16740,"$5.6 million"
1860,10357,14243,"same","38,",False,"3",16734,"$7.3 million"
1862,10368,14256,"dif","19,20,",False,"3",16745,"$1.9 million"
1862,10369,14256,"dif","50,51,",False,"3",16746,"$1.9 million"
1862,10367,14256,"dif","55,56,",False,"3",16744,"$22.2 million"
1862,10370,14256,"dif","29,30,",False,"3",16747,"$2.9 million"
